,solar,onshore,offshore
2020-12-10 19:00:00,0.0,0.04082054753309266,0.18230277185501065
2020-12-10 20:00:00,0.0,0.04749548736462094,0.2248134328358209
2020-12-10 21:00:00,0.0,0.052346570397111915,0.2547974413646055
2020-12-10 22:00:00,0.0,0.05738567990373045,0.2814498933901919
2020-12-10 23:00:00,0.0,0.06804678098676294,0.3250266524520256
2020-12-11 00:00:00,0.0,0.07404482551143202,0.3670042643923241
2020-12-11 01:00:00,0.0,0.08852286401925391,0.4060501066098081
2020-12-11 02:00:00,0.0,0.1072503008423586,0.41937633262260127
2020-12-11 03:00:00,0.0,0.13135529482551142,0.4367004264392324
2020-12-11 04:00:00,0.0,0.1506468110709988,0.5091950959488273
2020-12-11 05:00:00,0.0,0.16113868832731648,0.6071428571428571
2020-12-11 06:00:00,0.0,0.18259250902527077,0.6812366737739872
2020-12-11 07:00:00,0.0001866987511927976,0.19928925992779783,0.7522654584221748
2020-12-11 08:00:00,0.005040866282205535,0.21566636582430807,0.8023720682302772
2020-12-11 09:00:00,0.022320872920383355,0.22965553549939832,0.8430170575692963
2020-12-11 10:00:00,0.047462971414346765,0.23621765944645007,0.8474147121535182
2020-12-11 11:00:00,0.06308343359747749,0.2308024969915764,0.8258262260127932
2020-12-11 12:00:00,0.06882960627307803,0.231065734055355,0.7994402985074627
2020-12-11 13:00:00,0.05652823300004149,0.23247593261131166,0.8115671641791045
2020-12-11 14:00:00,0.03242334979048251,0.24528053549939832,0.8182302771855011
2020-12-11 15:00:00,0.008525909637804422,0.26338748495788206,0.8527452025586354
2020-12-11 16:00:00,0.00016595444550470895,0.29537078820697954,0.7911780383795309
2020-12-11 17:00:00,0.0,0.30057912154031285,0.7897121535181236
2020-12-11 18:00:00,0.0,0.30343712394705175,0.785181236673774
2020-12-11 19:00:00,0.0,0.2964801444043321,0.7654584221748401
2020-12-11 20:00:00,0.0,0.2790688929001203,0.748001066098081
2020-12-11 21:00:00,0.0,0.26773089651022863,0.7316098081023454
2020-12-11 22:00:00,0.0,0.2496991576413959,0.7298773987206824
2020-12-11 23:00:00,0.0,0.24368231046931407,0.7222814498933902
2020-12-12 00:00:00,0.0,0.23871841155234658,0.7413379530916845
2020-12-12 01:00:00,0.0,0.22717358604091456,0.714952025586354
2020-12-12 02:00:00,0.0,0.2164936823104693,0.6829690831556503
2020-12-12 03:00:00,0.0,0.20449759326113118,0.6663113006396588
2020-12-12 04:00:00,0.0,0.19616802045728038,0.6771055437100213
2020-12-12 05:00:00,0.0,0.1863530385078219,0.6791044776119403
2020-12-12 06:00:00,0.0,0.17792945246690733,0.650319829424307
2020-12-12 07:00:00,0.0001037215284404431,0.16403429602888087,0.5870202558635395
2020-12-12 08:00:00,0.003650997801103597,0.15254587845968712,0.5451759061833689
2020-12-12 09:00:00,0.01999751068331743,0.1328971119133574,0.5363805970149254
2020-12-12 10:00:00,0.041799775961498566,0.10768276173285199,0.4949360341151386
2020-12-12 11:00:00,0.05856117495747417,0.0871690734055355,0.4329690831556503
2020-12-12 12:00:00,0.061942496784632615,0.07376278580024068,0.32769189765458423
2020-12-12 13:00:00,0.049122515869393854,0.06355294825511432,0.2529317697228145
2020-12-12 14:00:00,0.027589926565157866,0.06297006618531889,0.18936567164179105
2020-12-12 15:00:00,0.0077376260216570555,0.06524518652226234,0.15498400852878466
2020-12-12 16:00:00,0.00014521013981662033,0.07203294223826714,0.13566098081023453
2020-12-12 17:00:00,0.0,0.07378158844765342,0.13073027718550106
2020-12-12 18:00:00,0.0,0.07504136582430807,0.12300106609808102
2020-12-12 19:00:00,0.0,0.07590628760529483,0.10647654584221748
2020-12-12 20:00:00,0.0,0.07239019253910951,0.08502132196162047
2020-12-12 21:00:00,0.0,0.0677647412755716,0.07249466950959488
2020-12-12 22:00:00,0.0,0.06259401323706378,0.06103411513859275
2020-12-12 23:00:00,0.0,0.059623194945848376,0.05796908315565032
2020-12-13 00:00:00,0.0,0.057780535499398315,0.06929637526652452
2020-12-13 01:00:00,0.0,0.060563327316486164,0.07502665245202558
2020-12-13 02:00:00,0.0,0.06511356799037304,0.07369402985074627
2020-12-13 03:00:00,0.0,0.06565884476534296,0.06969616204690832
2020-12-13 04:00:00,0.0,0.06524518652226234,0.07062899786780384
2020-12-13 05:00:00,0.0,0.06603489771359808,0.07462686567164178
2020-12-13 06:00:00,0.0,0.07302948255114321,0.0720948827292111
2020-12-13 07:00:00,0.00022818736256897482,0.07302948255114321,0.058768656716417914
2020-12-13 08:00:00,0.003215367381653736,0.06917493983152828,0.07476012793176973
2020-12-13 09:00:00,0.013711986059826578,0.06633574007220217,0.12140191897654584
2020-12-13 10:00:00,0.03460150188773182,0.061635078219013234,0.14232409381663114
2020-12-13 11:00:00,0.051570343940588306,0.05971720818291215,0.13166311300639658
2020-12-13 12:00:00,0.05883085093141933,0.05514816486161252,0.15071961620469082
2020-12-13 13:00:00,0.05165332116334066,0.05054151624548736,0.18110341151385928
2020-12-13 14:00:00,0.031157947143509106,0.0457280385078219,0.18776652452025586
2020-12-13 15:00:00,0.009604613533585032,0.04736386883273165,0.25066631130063965
2020-12-13 16:00:00,0.0002074430568808862,0.05984882671480144,0.3296908315565032
2020-12-13 17:00:00,0.0,0.07936597472924188,0.3658049040511727
2020-12-13 18:00:00,0.0,0.10315132370637786,0.4974680170575693
2020-12-13 19:00:00,0.0,0.1303023465703971,0.6116737739872068
2020-12-13 20:00:00,0.0,0.1535800240673887,0.6974946695095949
2020-12-13 21:00:00,0.0,0.16779482551143202,0.7546641791044776
2020-12-13 22:00:00,0.0,0.18607099879663055,0.7849147121535182
2020-12-13 23:00:00,0.0,0.21262033694344162,0.7543976545842217
2020-12-14 00:00:00,0.0,0.24225330926594466,0.6993603411513859
2020-12-14 01:00:00,0.0,0.2727700060168472,0.7184168443496801
2020-12-14 02:00:00,0.0,0.3057122442839952,0.7072228144989339
2020-12-14 03:00:00,0.0,0.3271848676293622,0.6783049040511727
2020-12-14 04:00:00,0.0,0.33914335138387486,0.6827025586353944
2020-12-14 05:00:00,0.0,0.35027451865222625,0.7097547974413646
2020-12-14 06:00:00,0.0,0.3720667870036101,0.7373400852878464
2020-12-14 07:00:00,0.0001037215284404431,0.38065959687123946,0.7442697228144989
2020-12-14 08:00:00,0.007592415881840435,0.38682686522262333,0.7230810234541578
2020-12-14 09:00:00,0.047774135999668094,0.3756392900120337,0.7357409381663113
2020-12-14 10:00:00,0.09633655561548354,0.3669712695547533,0.7621268656716418
2020-12-14 11:00:00,0.1341949134962453,0.3524932310469314,0.7770522388059702
2020-12-14 12:00:00,0.150043563041945,0.32624473525872444,0.7679904051172708
2020-12-14 13:00:00,0.13112475625440817,0.2961228941034898,0.795042643923241
2020-12-14 14:00:00,0.07555076131601875,0.2749135078219013,0.7941098081023454
2020-12-14 15:00:00,0.020640584159648177,0.2631242478941035,0.8126332622601279
2020-12-14 16:00:00,0.0005393519478903041,0.27273240072202165,0.8132995735607675
2020-12-14 17:00:00,0.0,0.28173886883273164,0.8426172707889126
2020-12-14 18:00:00,0.0,0.27850481347773764,0.8296908315565032
2020-12-14 19:00:00,0.0,0.26605746089049337,0.8114339019189766
2020-12-14 20:00:00,0.0,0.25298962093862815,0.8049040511727079
